004170;CARVALHO DAKAR/BRANCO                                  ;CVDK/BR                                                ;6191
004190;CARVALHO DAKAR/PRETO                                   ;CVDK/PR                                                ;6200
004191;CARVALHO DAKAR/PRETO BRILHANTE                         ;CVDK/PRBL                                              ;6188
004200;CARVALHO IBIZA                                         ;CVIZ                                                   ;6171
004240;CARVALHO IBIZA/CARVALHO MEZZO                          ;CVIZ/CVMZ                                              ;17366
004250;CARVALHO IBIZA/IMBUIA                                  ;CVIZ/IB                                                ;17369
004270;CARVALHO IBIZA/BRANCO                                  ;CVIZ/BR                                                ;6192
004290;CARVALHO IBIZA /PRETO                                  ;CVIZ/PR                                                ;6202
004291;CARVALHO IBIZA/PRETO BRILHANTE                         ;CVIZ/PRBL                                              ;6189
004300;CARVALHO MALVA                                         ;CAMA                                                   ;30121
004370;CARVALHO MALVA                                         ;CVMA/BR                                                ;30152
004390;CARVALHO MALVA / PRETO                                 ;CVMA/PR                                                ;30207
004391;CARVALHO MALVA / PRETO BRILHANTE                       ;CVMA/PRBL                                              ;30199
005000;MOGNO IGUACU                                           ;MI                                                     ;6229
005100;TABACO AMBAR                                           ;TA                                                     ;6230
005200;CARVALHO EBANO                                         ;CE                                                     ;6231
005300;ROVERE CINZA                                           ;RC                                                     ;6232
005400;ROVERE SERENO                                          ;ROSE                                                   ;30122
005490;ROVERE SERENO / PRETO                                  ;ROSE/PR                                                ;30208
005491;ROVERE SERENO / BRANCO                                 ;ROSE/PRBL                                              ;30200
006000;NOCE AMADO                                             ;NA                                                     ;5333
006001;NA / NC                                                ;NA / NC                                                ;5349
006003;NA / TB                                                ;NA / TB                                                ;5350
006004;NA / CV                                                ;NA / CV                                                ;5351
006005;NA / IB                                                ;NA / IB                                                ;5352
006007;NA / BR                                                ;NA / BR                                                ;5353
007100;TEKA ARTICO                                            ;TKAR                                                   ;6172
007170;TEKA ARTICO/BRANCO                                     ;TKAR/BR                                                ;6193
007190;TEKA ARTICO / PRETO                                    ;TKAR/PR                                                ;6201
007191;TEKA ARTICO/PRETO BRILHANTE                            ;TKAR/PRBL                                              ;6190
007920;BF/PB/BF                                               ;BF/PB/BF                                               ;17407
007930;BF/BF/PB                                               ;BF/BF/PB                                               ;17408
008000;CARVALHO GRIS                                          ;CG                                                     ;5334
008100;GRIS MONTANO                                           ;GRMO                                                   ;30119
008170;GRIS MONTANO                                           ;GRMO/BR                                                ;30153
008190;GRIS MONTANO / PRETO                                   ;GRMO/PR                                                ;30212
008191;GRIS MONTANO / PRETO BRILHANTE                         ;GRMO/PRBL                                              ;30203
008910;CARV.GRIS/PRETO BRILHANTE                              ;CG/PRBL                                                ;23117
009000;CINZA/CINZA                                            ;CZ/CZ                                                  ;4335
009060;PRETO / NOCE AMADO                                     ;PR/NA                                                  ;30162
009100;PRETO BRILHANTE                                        ;PRB                                                    ;5337
009200;PRISMA NOGUEIRA CADIZ                                  ;PNC                                                    ;30110
009300;NOCE VERONA                                            ;NOVE                                                   ;30111
009370;NOCE VERONA                                            ;NOVE/BR                                                ;30148
009390;NOCE VERONA / PRETO                                    ;NOVE/PR                                                ;30211
009391;NOCE VERONA/PRETO BRILHANTE                            ; NOVE/PRBL                                             ;22979
009400;NOCE CALIFORNIA                                        ;NOCA                                                   ;30118
009470;NOCE CALIFORNIA                                        ;NOCA/BR                                                ;30149
009490;NOCE CALIFORNIA / PRETO                                ;NOCA/PR                                                ;30210
